Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
26/4/18,Thursday,Rally,Flat-Rally,10586.5,10628.4,10559.65,10617.8,0.30,0.40,-0.25,0.15
27/4/18,Friday,Rally,Rally,10651.65,10719.8,10647.55,10692.3,0.38,0.64,-0.04,0.32
30/4/18,Monday,Choppy,Choppy,10705.75,10759,10704.6,10739.35,0.31,0.50,-0.01,0.13
2/5/18,Wednesday,Crash,Crash-Rally-Crash,10783.85,10784.65,10689.8,10718.05,-0.61,0.01,-0.87,0.41
3/5/18,Thursday,Crash,Crash-Rally-Crash,10720.15,10720.6,10647.45,10679.65,-0.38,0.00,-0.68,0.02
4/5/18,Friday,Crash,Crash,10700.45,10700.45,10601.6,10618.25,-0.77,0.00,-0.92,0.19
7/5/18,Monday,Rally,Rally,10653.15,10725.65,10635.65,10715.5,0.59,0.68,-0.16,0.33
8/5/18,Tuesday,Crash,Flat-Crash,10757.9,10758.55,10689.4,10717.8,-0.37,0.01,-0.64,0.40
9/5/18,Wednesday,Rally,Rally,10693.35,10766.25,10689.85,10741.7,0.45,0.68,-0.03,-0.23
10/5/18,Thursday,Crash,Crash,10779.65,10785.55,10705,10716.55,-0.59,0.05,-0.69,0.35
11/5/18,Friday,Rally,Rally,10741.95,10812.05,10724.45,10806.5,0.60,0.65,-0.16,0.24
14/5/18,Monday,Crash,Crash,10815.15,10834.85,10774.75,10806.6,-0.08,0.18,-0.37,0.08
15/5/18,Tuesday,Rally-Crash,Rally-Crash,10812.6,10929.2,10781.4,10801.85,-0.10,1.08,-0.29,0.06
16/5/18,Wednesday,Crash-Rally,Crash-Rally,10751.95,10790.45,10699.7,10741.1,-0.10,0.36,-0.49,-0.46
17/5/18,Thursday,Crash,Crash,10775.6,10777.25,10664.5,10682.7,-0.86,0.02,-1.03,0.32
18/5/18,Friday,Crash,Crash,10671.85,10674.95,10589.1,10596.4,-0.71,0.03,-0.78,-0.10
21/5/18,Monday,Crash,Crash,10616.7,10621.7,10505.8,10516.7,-0.94,0.05,-1.04,0.19
22/5/18,Tuesday,Rally-Crash,Rally-Crash,10518.45,10558.6,10490.55,10536.7,0.17,0.38,-0.27,0.02
23/5/18,Wednesday,Crash,Crash,10521.1,10533.55,10417.8,10430.35,-0.86,0.12,-0.98,-0.15
24/5/18,Thursday,Rally,Rally,10464.85,10535.15,10419.8,10513.85,0.47,0.67,-0.43,0.33
25/5/18,Friday,Rally,Rally,10533.05,10628.05,10524,10605.15,0.68,0.90,-0.09,0.18
28/5/18,Monday,Rally,Rally,10648.35,10709.8,10640.55,10688.65,0.38,0.58,-0.07,0.41
29/5/18,Tuesday,Crash,Crash,10689.4,10717.25,10616.1,10633.3,-0.52,0.26,-0.69,0.01
30/5/18,Wednesday,Rally,Rally,10579,10648.7,10558.45,10614.35,0.33,0.66,-0.19,-0.51
31/5/18,Thursday,Rally,Rally,10670.1,10763.8,10620.4,10736.15,0.62,0.88,-0.47,0.53
1/6/18,Friday,Crash,Crash,10738.45,10764.75,10681.5,10696.2,-0.39,0.24,-0.53,0.02
4/6/18,Monday,Crash,Crash,10765.95,10770.3,10618.35,10628.5,-1.28,0.04,-1.37,0.65
5/6/18,Tuesday,Choppy,Choppy,10630.7,10633.15,10550.9,10593.15,-0.35,0.02,-0.75,0.02
6/6/18,Wednesday,Rally,Rally,10603.45,10698.35,10587.5,10684.65,0.77,0.89,-0.15,0.10
7/6/18,Thursday,Rally-Crash,Rally-Crash,10722.6,10818,10722.6,10768.35,0.43,0.89,0.00,0.36
8/6/18,Friday,Crash-Rally,Crash-Rally,10736.4,10779.45,10709.05,10767.65,0.29,0.40,-0.25,-0.30
11/6/18,Monday,Rally-Crash,Rally-Crash,10781.85,10850.55,10777.05,10786.95,0.05,0.64,-0.04,0.13
12/6/18,Tuesday,Rally,Rally,10816.15,10856.55,10789.4,10842.85,0.25,0.37,-0.25,0.27
13/6/18,Wednesday,Rally-Crash,Rally-Crash,10887.5,10893.25,10842.65,10856.7,-0.28,0.05,-0.41,0.41
14/6/18,Thursday,Crash-Rally,Crash-Rally,10832.9,10833.7,10773.55,10808.05,-0.23,0.01,-0.55,-0.22
15/6/18,Friday,Crash-Rally,Crash-Rally,10808.65,10834,10755.4,10817.7,0.08,0.23,-0.49,0.01
18/6/18,Monday,Choppy,Choppy,10830.2,10830.2,10787.35,10799.85,-0.28,0.00,-0.40,0.12
19/6/18,Tuesday,Crash,Crash,10789.45,10789.45,10701.2,10710.45,-0.73,0.00,-0.82,-0.10
20/6/18,Wednesday,Rally,Rally,10734.65,10781.8,10724.05,10772.05,0.35,0.44,-0.10,0.23
21/6/18,Thursday,Crash,Crash,10808.45,10809.6,10725.9,10741.1,-0.62,0.01,-0.76,0.34
22/6/18,Friday,Rally,Rally,10742.7,10837,10710.45,10821.85,0.74,0.88,-0.30,0.01
25/6/18,Monday,Crash,Crash,10822.9,10831.05,10753.05,10762.45,-0.56,0.08,-0.65,0.01
26/6/18,Tuesday,Rally,Rally,10742.7,10805.25,10732.55,10769.15,0.25,0.58,-0.09,-0.18
27/6/18,Wednesday,Crash,Crash,10785.5,10785.5,10652.4,10671.4,-1.06,0.00,-1.23,0.15
28/6/18,Thursday,Crash,Crash,10660.8,10674.2,10557.7,10589.1,-0.67,0.13,-0.97,-0.10
29/6/18,Friday,Rally,Rally,10612.85,10723.05,10612.35,10714.3,0.96,1.04,0.00,0.22
2/7/18,Monday,Crash,Crash-Rally,10732.35,10736.15,10604.65,10657.3,-0.70,0.04,-1.19,0.17
3/7/18,Tuesday,Rally,Rally,10668.6,10713.3,10630.25,10699.9,0.29,0.42,-0.36,0.11
